LSOA_code,IMD_decile,population,__core20,__core20_pop,__core20_density,__core20_pct
E01000001,8,2172,False,0,0.0,0.0
E01000002,10,2044,False,0,0.0,0.0
E01000003,8,2444,False,0,0.0,0.0
E01000005,5,2391,False,0,0.0,0.0
E01000006,4,1930,False,0,0.0,0.0
E01000007,2,3080,True,3080,15505.420786671779,25.4998532882604
E01000008,2,1805,True,1805,9363.309337601304,15.39868009300779
E01000009,2,1880,True,1880,14723.327252530913,24.213640508054393
E01000011,2,1738,True,1738,19249.14432931453,31.65669368637823
E01000012,2,2474,True,2474,17493.354431402397,28.76916258240104
E01000013,3,1973,False,0,0.0,0.0
E01000014,3,1789,False,0,0.0,0.0
E01000015,3,2501,False,0,0.0,0.0
E01000016,4,1900,False,0,0.0,0.0
E01000017,3,1781,False,0,0.0,0.0
E01000018,3,1807,False,0,0.0,0.0
E01000019,3,1722,False,0,0.0,0.0
E01000020,3,2225,False,0,0.0,0.0
E01000021,2,1778,True,1778,10334.919170920886,16.996566957476343
E01000022,3,1508,False,0,0.0,0.0
E01000024,3,1531,False,0,0.0,0.0
E01000025,3,1967,False,0,0.0,0.0
E01000027,3,2188,False,0,0.0,0.0
E01000028,2,1837,True,1837,12469.265720930978,20.506663499863986
E01000029,5,2079,False,0,0.0,0.0
E01000030,2,2716,True,2716,9576.696661849244,15.749611908194272
E01000031,5,1985,False,0,0.0,0.0
E01000032,3,2181,False,0,0.0,0.0
E01000033,2,1568,True,1568,10981.996476357313,18.060735197849105
E01000034,3,1641,False,0,0.0,0.0
E01000035,3,1925,False,0,0.0,0.0
E01000036,4,1513,False,0,0.0,0.0
E01000037,5,1778,False,0,0.0,0.0
E01000038,5,1676,False,0,0.0,0.0
E01000039,6,1961,False,0,0.0,0.0
E01000040,2,1929,True,1929,11395.421918374352,18.740645034680536
E01000041,4,1888,False,0,0.0,0.0
E01000042,2,2069,True,2069,8918.317312120746,14.666856589452573
E01000043,3,1623,False,0,0.0,0.0
