Voided Centres
Akerman Health Centre
Alexandra Avenue Health & Social Care Centre
Baldry Gardens Primary Care Centre
Beaumont House
Beckenham Beacon
Bingfield Primary Care Centre
Chadwell Heath Health Centre
Child and Family Health Centre
Church Elm Lane Health Centre
Cloister Road Surgery
Comely Bank Clinic
Cranham Health Centre
East Ham Care Centre
Eltham Community Hospital
Evergreen Primary Care Centre
Finchley Memorial Hospital
Forest Road Health Centre
Garland Road Health Centre
Gracefield Gardens Health and Social Care Centre
Grand Union Village
Green Wrythe Lane Clinic
Hackney Ark
Hainault Health Centre
Hanley Road Primary Care Centre
Harold Hill Health Centre
Heart of Hounslow Health Centre
Holloway Community Health Centre
Hornsey Neighbourhood Health Centre
Jubilee Gardens Primary Care Centre
Kentish Town Health Centre
Kenworthy Road Health Centre
Lakeside Health Centre
Lordship Lane Health Centre
Marks Gate Health Centre
Monks Park Primary Care Centres
Nelson Health Centre
Newby Place Health and Wellbeing Centre
Parkview Centre for Health and Wellbeing
Partnership Primary Care Centre
Porters Avenue Health Centre
South Hornchurch Health Centre
Southwark Child Development Centre
St Johns Therapy Centre
Sudbury Primary Care Centre
Surbiton Health Centre
Tessa Jowell Health Centre
Thames View Health Centre
The Barkantine Centre
The Boleyn Medical Centre
The Broad Street Centre
The Centre Manor Park
The Lodge
The Nightingale Practice
Vale Drive Clinic
Vicarage Lane Health Centre
Waldron Health Centre
Wandsworth Bridge Road Health Centre
Whitton Corner Health & Social Care Centre
Wood Street Health Centre
Abingdon Health Centre
Albion Yard (Unit 1 & 2)
Balham Health Centre
Bethnal Green Health Centre
Brentford Health Centre
Bridge Lane Health Centre
Broadwater Farm Health Centre
Brocklebank Health Centre
Bromley by Bow Health Centre
Chalkhill Primary Care Centre
Ching Way Health Centre
Church Road Clinic
Clapham Manor Health Centre
Downham Health & Leisure Centre
Earl's Court Health & Wellbeing Centre
East Ham Memorial Hospital
Edgware Community Hospital - Main Building
Edgware Community Hospital - Westgate House
Erith Health Centre
Feltham Centre for Health
Forest Road Medical Centre
Gallions Reach Health Centre
Gill Street Health Centre
Gosbury Hill Clinic
Greenwich Peninsula Health Centre
Hallfield Clinic
Harefield Health Centre
Harold Wood Polyclinic
Hesa Primary Care Centre
Heston Health Centre
Hillside Primary Care Centre
Impact House
Jenner Health Centre
John Scott Health Centre
Jubilee Health Centre
Kensington Park Medical Centre
Kenwood Gardens
Laurels Healthy Living Centre
Lord Lister Health Centre
Lower Clapton Health Centre
Loxford Polyclinic
Madinah Road Block H
Maida Vale Medical Centre
Martin House
Milson Road Health Centre
Morden Road Clinic
Newbury Park Health Centre
Norbury Health Centre
Northwood Health Centre
Oliver Road Polyclinic
Oxlow Lane Health Centre
Peckwater Street Car Park
Queen Marys University Hospital - PFI
Ruston Street Clinic
Scarsdale Medical Centre
Seven Kings Health Centre
Shrewsbury Health Centre
Silverthorn Centre
Sir Ludwig Guttmann Health and Wellbeing Centre
Somerford Grove Health Centre
South Lewisham Health Centre
South Westminster Ctr for Health
St Andrews Health Centre
St Charles Hospital - Kellfield House - New Chapel
St Charles Hospital - Main Building
St John's Health Centre (LDN)
St Leonards Hospital Blocks A-E
Stamford Brook Centre
The Isleworth Centre
The Meadows Centre for Health
Thornton Heath Health Centre
Tooting Bec Medical Centre
Torrington Park Health Centre
Tudor Lodge Health Centre
Vicarage Fields Health Centre
Wanstead Hospital
Wembley Centre for Health - Main Building
West Ham Lane Health Centre
Willesden Centre for Health and Care - PFI
Wilson Hospital
